City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Najrān,17.49,44.13,80.6,19,89,2.75,SA
Davila,18.47,120.58,80.6,83,75,2.24,PH
Stornoway,58.21,-6.39,54.0,93,31,6.93,GB
Kalemie,-5.95,29.19,71.92,61,11,2.59,CD
Xinzhou,38.41,112.73,68.18,66,0,3.27,CN
Touros,-5.2,-35.46,77.0,83,75,4.7,BR
Yerköy,39.64,34.47,62.73,48,0,1.68,TR
Olbia,40.92,9.49,78.8,61,0,12.75,IT
Chillicothe,39.33,-82.98,84.99,65,40,3.36,US
Chupa,66.27,33.05,56.64,56,55,11.05,RU
Sibolga,1.74,98.78,76.8,77,97,3.76,ID
Abbeville,50.1,1.83,54.0,81,68,11.21,FR
Mahon,39.89,4.27,73.4,83,0,6.93,ES
Troitsko-Pechorsk,62.71,56.2,43.3,73,80,6.55,RU
Caucayá,-0.19,-74.78,75.31,94,35,0.43,CO
Kondinskoye,59.65,67.41,44.92,93,97,6.82,RU
Pisco,-13.7,-76.22,64.4,77,4,19.46,PE
Menomonie,44.88,-91.92,82.0,73,40,11.41,US
Coyhaique,-45.58,-72.07,35.6,95,90,2.24,CL
Banda Aceh,5.56,95.32,78.87,77,100,7.94,ID
Lahad Datu,5.03,118.33,77.95,85,97,3.15,MY
Kirakira,-10.45,161.92,82.6,73,82,4.07,SB
Agadez,19.75,10.25,85.15,13,0,6.4,NE
Pombas,17.15,-25.02,75.2,73,40,25.28,CV
Denpasar,-8.65,115.22,78.8,100,40,10.29,ID
Bubaque,11.28,-15.83,81.72,82,32,12.95,GW
Dudeştii Vechi,46.05,20.48,66.2,93,62,10.29,RO
Warrensburg,38.76,-93.74,86.0,66,69,10.29,US
Flin Flon,54.77,-101.86,57.2,93,90,6.93,CA
Srandakan,-7.94,110.25,74.37,88,18,6.35,ID
Jijiga,9.35,42.8,64.33,74,54,15.35,ET
Buala,-8.14,159.59,83.84,66,40,1.72,SB
Sisimiut,66.94,-53.67,43.34,78,10,7.78,GL
Kenai,60.55,-151.26,60.8,58,20,28.86,US
Toamasina,-18.17,49.38,68.97,86,36,2.68,MG
Huarmey,-10.07,-78.15,64.33,79,3,11.45,PE
Salekhard,66.53,66.6,45.77,90,100,6.4,RU
Evanston,42.04,-87.69,80.01,78,90,26.4,US
Naze,28.37,129.48,82.4,100,75,20.8,JP
Carballo,43.21,-8.69,61.0,84,9,2.06,ES
Sabzawār,36.21,57.68,67.1,26,1,9.48,IR
Burns Lake,54.23,-125.75,68.67,35,73,12.37,CA
Rome,43.21,-75.46,80.6,47,1,8.05,US
Chernyakhovsk,54.63,21.82,57.6,98,100,9.8,RU
Sept-Îles,50.2,-66.38,68.0,68,20,4.7,CA
Misratah,32.38,15.09,74.43,74,0,1.77,LY
Terrace,54.52,-128.6,62.6,51,75,14.99,CA
Seinäjoki,62.79,22.83,59.0,100,90,4.7,FI
Dudinka,69.41,86.18,60.8,63,86,13.42,RU
Launceston,-41.45,147.17,46.0,93,75,4.7,AU
Huai Thalaeng,15.0,102.65,77.0,88,60,4.7,TH
Ust-Kuyga,70.02,135.6,55.51,40,96,3.42,RU
Grants,35.15,-107.85,87.8,8,1,18.34,US
Kohila,59.17,24.76,64.4,93,100,3.36,EE
Vila Franca do Campo,37.72,-25.43,68.0,94,75,13.87,PT
Sandpoint,48.28,-116.55,73.99,38,40,8.05,US
Loknya,56.83,30.15,62.55,84,45,10.16,RU
Canutama,-6.53,-64.38,80.01,62,54,1.77,BR
Tanout,14.97,8.89,79.88,63,82,13.98,NE
Kerema,-7.96,145.78,79.59,83,65,1.92,PG
Leer,8.3,30.14,75.49,76,74,5.59,SS
Yichang,30.71,111.28,77.0,83,0,2.39,CN
Domoni,-12.26,44.53,75.76,79,15,8.03,KM
Lugovoy,42.95,72.76,58.5,39,90,3.06,KZ
Buckingham,52.0,-0.99,55.99,70,82,1.01,GB
Pabradė,55.0,25.78,69.8,83,100,9.17,LT
Bodden Town,19.28,-81.25,87.8,79,20,9.17,KY
Nemuro,43.32,145.57,53.04,92,100,7.47,JP
Mogadishu,2.04,45.34,78.53,87,12,14.47,SO
Moose Factory,51.26,-80.61,78.8,61,1,12.75,CA
Alekseyevsk,57.84,108.35,69.76,61,0,2.59,RU
Hyères,43.12,6.12,79.0,57,0,4.7,FR
Moranbah,-22.0,148.05,62.22,83,86,17.58,AU
Borovoy,55.43,86.08,57.2,76,76,13.42,RU
Loikaw,19.67,97.21,67.48,94,68,1.88,MM
Sabang,5.89,95.32,82.18,76,100,9.4,ID
Aswān,24.09,32.91,85.19,19,0,10.42,EG
Wana,32.3,69.57,77.5,53,0,1.86,PK
Anderson,34.53,-82.65,91.4,49,1,9.17,US
North Bend,43.41,-124.22,69.01,68,1,13.87,US
Primorsko-Akhtarsk,46.05,38.17,72.81,81,48,8.99,RU
Krasnyy Chikoy,50.36,108.75,60.69,84,20,2.17,RU
Esim,4.87,-2.24,75.92,87,68,10.07,GH
Makueni Boma,-1.8,37.62,58.17,70,0,1.86,KE
Makakilo City,21.35,-158.09,84.2,66,1,12.75,US
Adré,13.47,22.2,81.9,50,100,2.21,TD
Abasolo,20.45,-101.52,75.2,57,75,5.82,MX
Lake City,30.19,-82.64,89.6,55,40,11.41,US
Havøysund,71.0,24.66,41.0,80,75,27.51,NO
